Item,Link,Cost,Shipping Cost (for me)
Ti-Calculator,"https://www.ebay.com/itm/206233548292?_trkparms=itmf%3D1%26aid%3D1110006%26rkt%3D12%26mech%3D1%26algv%3DSimplAMLv11WebTrimmedV3MskuWithLambda85KnnRecallV1V2V4ItemNrtInQueryAndCassiniVisualRankerAndBertRecallWithVMEV3CPCAutoWithCassiniEmbRecall%26pmt%3D1%26amclksrc%3DITM%26sd%3D318044248092%26sid%3DAQALAAAAENpiQmM93WZhN9YylqPrQyc%3D%26itm%3D206233548292%26noa%3D0%26plcampt%3D0%3A164495516017%26algo%3DHOMESPLICE.SIM%26brand%3DTexas+Instruments%26asc%3D306944,306632%26ao%3D1%26rk%3D12%26pid%3D101875%26b%3D1%26mehot%3Dnone%26lsid%3D0%26meid%3D0e34afe91fea42f4abd0aed17c0c23fe%26pg%3D2332490&_trksid=p2332490.c101875.m1851&itmprp=cksum%3A2062335482920e34afe91fea42f4abd0aed17c0c23fe%7Cenc%3AAQALAAABgIf4SF%252B2DW2MUkpOSZsEFheQrx81XdG2gJ5ApysHNlppSldbnCKMSfrBbNLVw231RAu0lki%252FOT1Wn4CzgTh%252Bw%252Fh3kjYrOunpRv5c4lswHq29myFknd755OZD582Of2YEB4KRIMLsHCk6tVk7l2wdere9f2mYUh94V48mn%252BZdvNI7GVeuv%252FH72BT%252Bxxhh2XGq%252B%252F0PzXeyVheM5jtBEV0dRWwobkegpSsLiULdu13lstiqY4VHh%252BW9ecPXp00T2HX6qSRfKZeJIUklSJLO9GcOKnMqD9M81l9tPPIA2apFyN%252FEguIwn7zFMZdwpTH8nVywiJbxC4br3oV%252BWd6%252B2Dit1NDp1wrYzyirNQL2j5Uieg1OsjnjPVWoIieLjzAPmMLKEDraj9QeRqN2%252B9x2SckNNaxBsO3Bg8vC219IKtVWzXJzgKATEe6UW7J6YJdJ4TljSUzjw0GeQIPfMUnlVjRSF0rFnrQvHi6ChmamPw0RgJwFnzJ7rh%252BrGLshicAuXZaosQ%253D%253D%7Campid%3APL_CLK%7Cclp%3A2332490&itmmeta=01KRM6T4GD7PYKMF4PB6455H84",25,10.01
OrangePI Zero 3W 4GB Ram,https://www.alibaba.com/product-detail/Orange-Pi-Zero-3W-Allwinner-A733_1601756612543.html,72,0
PowerBoost 1000 Charger,https://www.adafruit.com/product/2465,19.95,9.18
Heltec 3.7V Lipo Battery 3000Mah,https://www.aliexpress.us/item/3256808535461122.html,15.5,0
2.8inch HDMI IPS LCD Display (480x640),https://www.waveshare.com/2.8inch-hdmi-lcd-h.htm,48.99,12.4
Cooling Fan,https://www.aliexpress.us/item/3256806605439526.html,3.24,0
Heat Sink,https://www.aliexpress.us/item/3256809540990193.html,2.94,0
Foam Tape,https://www.amazon.com/Double-Strong-Sticky-Adhesive-Mounting/dp/B0DBLPC1XR/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LVXp4LvDeW62nIY6DYyR347wYtdrasmxau_AlPtovrhmzJiTsNtGl_qE4_VcJzYuUSQDHwqd-9F_evedm7GzIFx9swPAiMHHpEN897sWExzCD1nLcR_x_2KrON_wDx23NyJhHH8SG_oHZQcWAWejCwV5j2aciQfoQT951xu74XasfwGElaNMMSzxNbIT3u-wun9WXgZC5HOD8izPeLj3CjmTT6Mc91_gm6l7ApbrkJo.JIn8MdUDk8tnc_wHJ2uOxNNTSSATRikiOlOE4kHtVOg&dib_tag=se&keywords=double+sided+foam+tape&qid=1776658415&sr=8-3,1.59,0
30 AWG Electrical Wire,https://www.aliexpress.us/item/3256808837956609.html,4.36,0
USB C Extender,https://www.aliexpress.com/ssr/300001493/welcomegiftspmpc?spm=a2g0o.productlist.main.15.45de202dB4soDo&businessCode=ug&productIds=1005008941281910&pha_manifest=ssr&source_position=app_home_moretolove_wg&_immersiveMode=true&disableNav=YES&sourceName=SEARCH&skuId=12000047293903563&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008941281910%7C_p_origin_prod%3A&pvid=2879825e-ec1e-4a53-9ce7-a0ef935cb6ca,0,0
USB C Adapter,https://www.aliexpress.com/ssr/300001493/welcomegiftspmpc?spm=a2g0o.productlist.main.3.64622fd2offXOk&businessCode=ug&productIds=1005008997256394&pha_manifest=ssr&source_position=app_home_moretolove_wg&_immersiveMode=true&disableNav=YES&sourceName=SEARCH&skuId=12000047508687581&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008997256394%7C_p_origin_prod%3A&pvid=d206cdf5-590a-49ff-abce-a6fc2f972075,0,0
USB C to Micro USB,https://www.aliexpress.us/item/3256806829874166.html,2.84,0
Soldering Gun,https://www.walmart.com/ip/Soldering-Iron-Kit-Electric-60W-110V-Adjustable-Temperature-Soldering-Gun-Welding-Tools-5pcs-Replacement-Tips-and-Solder-Wire-Basic/15525311711,10.99,6.99
Flux Pen,https://www.walmart.com/ip/Soldering-Flux-Pen-for-DIY-Welding-and-Electronics-Repair-Low-Solid-Non-Clean-Suitable-for-Automotive-Computer-and-Telecom/19198516459?wmlspartner=wlpa&selectedSellerId=102590296,5.4,1.99
Multimiter,https://www.amazon.com/AstroAI-Digital-Multimeter-Voltage-Tester/dp/B0CLV8R7QF/ref=sr_1_1?th=1,14.59,0
Raspberry Pi Pico,https://www.adafruit.com/product/4864,4,
Diodes,https://www.newark.com/onsemi/1n4148/small-signal-diode-100v-200ma/dp/58K9570?&CMP=KNC-GUSA-GEN-SKU-OPTMYZR-ONBOARD-COMP&gad_source=1&gad_campaignid=22992620624&gbraid=0AAAAAD5U_g3vcBYrdpPEEK522B10oRHYm&gclid=Cj0KCQjwk_bPBhDXARIsACiq8R1lsypYUdoMHXTnJiVApm3_kJ0xltI7Q8B9ZT3LbJCGOa6abcv0fSoaAjKJEALw_wcB,2.15,9.99
Micro SD Card,https://www.aliexpress.us/item/3256812104229832.html?spm=a2g0o.productlist.main.4.7fbe562c9H9kj4&aem_p4p_detail=202605172018143454377781552620002270431&algo_pvid=b4096809-c8e7-47af-be6f-b2a7d6af78f7&algo_exp_id=b4096809-c8e7-47af-be6f-b2a7d6af78f7-3&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%21108.76%2121.25%21%21%21737.36%21144.08%21%402103123917790742944332641e869b%2112000057967477146%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7a20e225%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=UyLzcGTafG6g&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012290544584%7C_p_origin_prod%3A&search_p4p_id=202605172018143454377781552620002270431_1,26.27,9.78
